Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,ShipTonMile
DE,PA,F02,T03,0.78,5.74,0.68
HI,OK,F07,T14,1.80,0.08,0.16
VA,IL,F06,T03,37.74,35.77,13.37
TX,MD,F05,T03,122.88,70.59,58.54
MA,NV,F04,T14,16.96,1.30,1.80
NY,TX,F08,T03,44.44,83.61,66.45
ND,OR,F05,T03,33.50,12.67,8.27
IL,ND,F06,T03,6.48,12.17,3.79
NH,NV,F05,T03,1.08,0.09,0.13
NE,TX,F04,T03,294.99,472.44,161.56
CO,NC,F05,T03,40.99,16.36,11.98
VA,CO,F07,T14,0.05,0.00,0.00
AR,MO,F05,T03,424.82,756.92,31.57
MD,WI,F07,T03,163.09,30.73,13.89
CO,CO,F02,T03,959.99,7616.77,267.75
NH,OH,F07,T03,11.35,8.32,2.82
IA,OH,F07,T03,78.06,51.66,19.11
NC,NJ,F02,T14,3.67,0.09,0.02
MS,AL,F07,T03,386.74,694.04,57.43
WA,PA,F05,T03,11.64,1.97,2.80
MO,NY,F08,T03,21.98,50.93,25.44
KY,MI,F04,T03,0.24,0.14,0.03
NC,PA,F09,T03,598.77,17.87,3.84
ND,NH,F04,T03,6.38,16.90,14.22
OR,OR,F04,T03,377.95,2583.83,67.39
OR,AL,F03,T14,0.01,0.02,0.02
KY,MD,F04,T03,15.74,48.80,19.85
OH,WV,F03,T14,0.10,0.01,0.00
IL,IL,F08,T03,8537.80,6673.37,79.54
KS,KY,F04,T03,248.32,502.79,146.63
MN,IL,F07,T03,565.14,690.10,172.02
IA,NC,F04,T03,15.03,7.82,4.27
NY,OH,F07,T11,0.00,0.00,0.00
KY,CO,F07,T03,86.15,155.10,81.97
LA,KS,F06,T03,5.10,2.34,1.08
GA,WI,F05,T03,119.43,111.49,54.93
CA,FL,F08,T14,39.04,3.21,4.44
MO,AZ,F07,T03,43.67,59.30,42.26
WA,VA,F06,T06,3.96,14.66,22.72
WA,IL,F07,T06,40.44,144.67,147.50
CA,ID,F03,T14,2.57,0.15,0.05
CA,WA,F07,T14,384.65,5.10,3.00
LA,OR,F05,T03,24.66,16.22,19.41
ND,MI,F07,T14,0.02,0.01,0.00
NH,MA,F04,T03,48.65,133.22,5.20
OR,AR,F03,T06,3.12,9.66,12.77
MO,NE,F06,T03,8.47,16.34,2.07
TX,AR,F04,T06,210.50,126.46,38.13
MD,LA,F07,T14,0.01,0.00,0.00
MA,UT,F06,T03,10.73,3.91,4.68
IA,VA,F07,T06,82.00,386.84,230.33
UT,CA,F04,T11,15.94,0.81,0.28
KS,MS,F07,T03,34.15,23.96,8.81
MA,OK,F07,T03,0.43,0.29,0.24
SC,AL,F03,T03,0.97,1.77,0.30
AL,NM,F05,T03,2.59,0.44,0.31
OR,WI,F03,T00,1.26,1.46,1.46
NC,OR,F05,T03,27.61,45.57,67.07
IN,NC,F05,T03,37.52,29.23,10.49
SC,SC,F02,T03,37.59,302.14,9.46
UT,ME,F08,T03,0.36,0.44,0.54
IL,IL,F07,T03,12371.13,24704.51,482.32
NE,PA,F06,T06,82.09,553.87,358.87
MA,NJ,F07,T14,0.65,0.12,0.02
WA,AZ,F07,T03,315.02,254.50,186.65
NV,NV,F08,T03,1286.70,916.19,9.11
TN,PA,F05,T03,82.44,44.77,14.47
TN,KY,F06,T03,196.06,218.87,28.33
ID,MO,F02,T06,97.05,731.54,461.24
CT,GA,F04,T03,1.76,0.84,0.43
OR,MD,F03,T00,1.80,2.88,4.57
GA,NJ,F07,T03,52.95,84.63,33.10
AL,CO,F06,T03,0.04,0.03,0.02
SC,MD,F07,T03,30.77,129.65,34.45
IA,NM,F07,T03,1.67,1.54,0.85
IN,OH,F09,T03,51.54,0.68,0.06
SD,NE,F07,T00,1.56,0.67,0.17
MS,CO,F05,T03,40.10,43.98,29.68
AZ,AZ,F07,T03,3429.79,8107.12,196.68
MS,AL,F02,T03,1.57,12.58,1.13
IL,WA,F03,T03,103.65,221.42,225.08
OK,MS,F09,T03,0.73,0.03,0.01
MT,WA,F06,T06,23.52,150.07,37.44
TN,MO,F03,T14,1.24,0.07,0.01
MO,WA,F04,T14,0.08,0.06,0.07
MI,DC,F03,T14,0.12,0.03,0.01
IL,NE,F05,T03,269.99,153.36,32.89
WI,KY,F04,T14,2.77,0.25,0.07
NH,TN,F07,T11,0.03,0.00,0.00
OR,AZ,F08,T03,0.95,1.56,0.93
CA,OK,F06,T14,0.30,0.22,0.18
NY,AR,F07,T14,0.02,0.01,0.00
CA,IL,F05,T00,18.31,11.04,12.00
CA,IL,F00,T00,4.07,10.50,11.77
NJ,ME,F03,T14,0.11,0.01,0.00
NJ,CA,F02,T03,0.77,0.60,0.84
AL,LA,F08,T03,2.62,1.15,0.20
TN,IN,F07,T14,0.01,0.00,0.00
NY,DC,F06,T03,1.75,2.24,0.43
ME,WI,F04,T14,1.31,0.19,0.12
ID,NE,F07,T03,22.15,68.89,35.73
NH,NY,F07,T11,0.88,0.03,0.00
OH,ND,F07,T03,55.33,43.77,20.34
OK,IL,F07,T03,5.45,2.78,0.96
MN,GA,F06,T14,0.00,0.00,0.00
ND,NC,F06,T06,7.21,26.18,20.62
VA,DE,F00,T00,0.07,0.01,0.00
ME,MD,F06,T03,0.23,0.12,0.04
MN,UT,F04,T06,2.01,16.59,11.35
MN,TX,F05,T03,318.42,268.77,170.86
ID,VA,F06,T06,43.76,251.43,324.35
IA,LA,F02,T06,122.03,1076.14,693.57
HI,MN,F05,T11,0.75,0.06,0.12
NC,LA,F07,T14,0.01,0.01,0.00
WI,IL,F03,T03,537.67,1861.46,138.52
NV,WA,F09,T14,0.09,0.01,0.00
OR,WY,F08,T03,0.79,1.59,0.63
CA,KS,F07,T00,133.95,84.49,80.87
MO,MT,F07,T03,0.45,0.22,0.16
LA,WI,F00,T00,1.94,4.56,2.74
IL,OH,F03,T03,56.69,95.46,16.80
KY,OK,F06,T03,6.49,7.27,3.35
CA,WY,F03,T03,42.58,55.67,33.64
OH,PA,F07,T06,65.37,333.47,82.70
CT,MA,F09,T03,5.09,0.13,0.00
MT,NV,F02,T03,1.01,12.31,7.03
ID,TX,F03,T00,5.97,36.72,33.91
ND,PA,F04,T03,54.56,140.57,93.83
NJ,AZ,F00,T00,0.01,0.01,0.02
WA,AL,F03,T14,0.29,0.04,0.05
CA,VT,F08,T14,0.04,0.01,0.01
NJ,NH,F07,T03,184.62,156.36,22.07
NH,VA,F07,T11,0.20,0.01,0.00
PA,LA,F09,T03,110.71,33.36,20.88
NY,FL,F05,T03,205.98,54.22,33.16
NM,TN,F07,T03,1.60,0.69,0.42
OH,GA,F07,T00,23.80,157.84,53.83
GA,PA,F09,T14,0.26,0.01,0.00
IA,MT,F07,T14,0.19,0.04,0.03
CO,WY,F08,T03,38.71,70.16,7.59
MD,TX,F06,T03,33.55,34.39,24.10
NE,IA,F00,T00,5.63,135.10,17.90
IN,LA,F04,T00,85.02,49.66,27.79
GA,FL,F03,T03,491.04,770.95,167.27
MI,ME,F00,T00,9.83,71.00,37.10
NE,NE,F09,T14,0.22,0.10,0.01
KS,TX,F08,T03,27.00,82.63,27.02
UT,VA,F04,T14,0.01,0.01,0.01
VA,AL,F04,T03,3.75,7.51,2.55
NY,IA,F06,T03,38.97,12.24,6.55
CA,DC,F08,T00,12.15,6.87,10.60
PA,VA,F06,T03,201.58,146.08,18.81
ME,ME,F04,T03,133.96,700.50,4.90
IN,NV,F07,T03,8.10,17.64,18.76
UT,MT,F04,T14,0.06,0.06,0.02
MN,WI,F03,T14,0.13,0.06,0.00
CO,TX,F00,T00,49.71,110.46,79.26
NC,KS,F06,T14,0.27,0.01,0.00
TN,WI,F05,T03,99.40,64.06,19.18
DE,MD,F08,T03,5.94,6.91,0.33
KS,VA,F04,T00,11.71,8.13,6.06
MN,FL,F04,T03,5.83,6.34,5.32
KS,IL,F04,T14,2.00,0.27,0.07
UT,CA,F04,T03,199.02,283.19,101.12
ND,MA,F07,T14,0.01,0.00,0.00
OR,WY,F07,T03,13.64,14.13,8.59
AR,TN,F08,T03,10.53,4.91,1.44
NC,MO,F00,T00,1.00,0.20,0.07
NH,AL,F08,T03,0.43,0.73,0.45
OK,LA,F05,T03,21.70,13.13,6.32
SC,IL,F09,T14,1.90,0.18,0.09
UT,WY,F03,T14,0.51,0.04,0.01
MN,MO,F06,T00,11.73,39.65,16.18
UT,NM,F07,T03,49.30,25.15,7.54
OK,WY,F04,T03,2.49,7.60,4.57
NV,MT,F09,T03,1.65,0.03,0.01
RI,RI,F04,T14,0.20,0.18,0.00
NM,MT,F03,T14,0.31,0.01,0.00
NY,CA,F08,T00,81.25,73.56,107.48
TX,WA,F06,T14,1.05,0.28,0.34
IA,KS,F04,T00,10.35,69.00,9.38
NC,AR,F08,T03,0.31,0.25,0.08
WI,NM,F07,T03,2.92,1.22,0.89
NY,NY,F08,T03,10402.99,8168.22,138.92
NY,IL,F00,T00,101.23,19.20,9.57
KS,KS,F04,T14,1.26,0.25,0.01
KS,ME,F07,T03,14.87,9.15,7.97
ME,NC,F04,T14,7.41,1.21,0.50
MO,OH,F04,T03,18.63,51.26,14.39
OK,CO,F07,T03,1.40,2.43,0.79
IA,WA,F07,T03,82.76,40.32,34.12
KY,MD,F05,T03,158.34,69.06,26.60
AR,OR,F06,T03,2.86,1.87,2.07
WY,TX,F07,T06,7.47,15.33,10.27
OH,UT,F03,T11,0.22,0.09,0.08
CA,NM,F08,T03,101.15,104.71,53.14
RI,LA,F05,T03,2.52,2.10,1.62
MS,MS,F02,T03,173.34,963.54,31.02
CT,CA,F05,T03,7.48,2.61,3.71
OR,WI,F08,T14,0.57,0.09,0.09
CA,OK,F08,T14,0.01,0.00,0.00
CA,MT,F03,T14,1.58,0.38,0.25
AL,MD,F00,T00,0.00,0.00,0.00
OK,PA,F04,T14,0.82,0.33,0.18
MN,IN,F07,T06,50.19,72.24,16.29
HI,CO,F05,T11,5.15,0.36,0.63
MO,CT,F05,T03,7.12,5.23,3.62
VA,GA,F05,T14,0.02,0.01,0.00
NC,LA,F07,T03,15.12,4.17,1.53
IA,IN,F08,T03,12.55,34.68,2.84
TN,MS,F03,T03,23.37,24.55,2.77
NY,VT,F07,T14,0.05,0.02,0.00
CT,TN,F06,T14,0.12,0.01,0.01
UT,MD,F06,T03,5.33,3.34,3.52
PA,MS,F06,T03,5.61,5.25,2.85
CA,NJ,F05,T03,217.59,100.51,141.72
MD,KS,F02,T03,0.72,7.31,4.06
IN,VA,F04,T00,13.98,50.71,19.57
NC,NC,F06,T03,1453.12,2681.84,65.48
ND,OR,F06,T03,2.51,6.48,4.82
GA,KY,F04,T03,29.61,51.86,8.29
OH,ME,F06,T03,6.37,27.56,15.87
SD,SD,F04,T14,0.17,0.04,0.00
KY,KY,F09,T03,752.97,36.09,1.27
VT,UT,F06,T03,0.54,0.41,0.48
ID,UT,F03,T14,0.02,0.00,0.00
TN,ID,F07,T06,44.17,77.97,69.78
TN,WY,F07,T03,6.88,8.46,5.11
FL,NH,F07,T14,0.28,0.01,0.01
IL,IL,F09,T14,4.95,0.18,0.02
SD,MO,F04,T03,10.06,22.04,4.72
OR,IL,F06,T00,18.95,19.70,22.26
OR,TX,F06,T00,28.64,31.59,40.52
NH,CO,F07,T14,0.04,0.01,0.01
UT,MS,F02,T03,0.20,1.49,1.43
CT,PA,F09,T03,0.10,0.02,0.00
WY,KS,F07,T06,3.69,7.58,2.15
CA,WI,F08,T14,8.65,1.67,1.80
SC,NC,F00,T00,15.25,36.82,4.94
VT,RI,F07,T03,3.33,2.96,0.35
PA,AZ,F07,T00,10.08,8.75,11.83
IL,AZ,F09,T03,7.28,0.36,0.33
ND,NJ,F07,T03,1.44,3.01,2.25
ND,MA,F03,T03,3.83,30.05,25.85
ME,OH,F03,T03,3.01,11.22,6.40
ID,IN,F07,T14,5.21,0.13,0.12
IN,LA,F08,T03,0.26,0.24,0.10
NY,MD,F03,T14,1.94,0.18,0.05
MD,NH,F00,T00,1.41,2.08,0.42
MA,LA,F05,T11,0.07,0.01,0.00
MA,NH,F09,T03,290.92,3.26,0.04
CO,DE,F07,T14,0.69,0.03,0.03
LA,CO,F07,T03,2.13,7.07,4.66
IA,NC,F07,T06,40.04,276.49,176.61
MN,WV,F04,T14,1.39,0.50,0.25
CT,NJ,F00,T00,29.09,30.14,2.73
UT,NJ,F07,T11,2.88,0.39,0.51
NY,MN,F04,T03,15.83,188.05,89.70
WA,ND,F07,T03,31.94,55.92,33.14
MN,NC,F04,T14,0.88,0.40,0.21
IN,CA,F03,T14,0.87,0.24,0.26
CA,MO,F03,T03,127.45,77.51,72.64
SC,GA,F09,T14,0.37,0.02,0.00
MN,MN,F06,T06,18.37,43.98,0.30
TN,DC,F03,T14,0.36,0.03,0.01
HI,AR,F07,T14,0.12,0.01,0.03
VA,NJ,F07,T14,7.43,0.60,0.08
IN,GA,F00,T00,50.48,222.06,110.70
MD,DC,F09,T03,22.32,3.28,0.06
IA,OK,F04,T06,6.86,50.02,19.50
NJ,MT,F04,T03,4.26,1.22,1.42
MN,NM,F07,T03,10.95,16.64,11.21
CO,NC,F04,T14,0.01,0.00,0.00
ND,SD,F06,T03,5.07,19.04,1.87
KY,SC,F05,T14,0.12,0.02,0.00
NJ,WV,F06,T03,5.42,4.68,0.46
TN,IA,F07,T03,84.56,162.36,69.03
MI,IL,F05,T14,0.24,0.03,0.01
OR,ND,F08,T14,0.04,0.00,0.00
OK,OK,F09,T14,0.04,0.00,0.00
AL,MD,F09,T14,0.43,0.01,0.01
ND,MI,F00,T00,0.00,0.00,0.00
WI,NJ,F05,T03,68.58,20.86,9.94
KY,NY,F04,T03,29.03,19.73,7.85
IN,PA,F08,T03,65.56,150.79,30.93
MO,NE,F07,T03,38.56,109.28,8.00
OH,ME,F05,T03,16.37,5.23,2.37
MA,IN,F06,T14,0.04,0.03,0.01
FL,FL,F07,T11,2.34,0.14,0.01
MO,DC,F09,T14,0.05,0.00,0.00
SC,SC,F03,T14,0.10,0.00,0.00
TX,AL,F06,T03,54.58,51.84,17.28
KY,OR,F07,T03,7.00,7.62,9.02
VA,CA,F07,T14,0.64,0.06,0.08
MA,MS,F03,T14,0.51,0.07,0.05
HI,WA,F07,T14,1.03,0.12,0.16
CA,IN,F06,T00,11.98,9.00,11.63
HI,HI,F00,T00,58.71,51.57,4.80
IN,LA,F07,T14,0.42,0.18,0.09
MO,VA,F02,T06,6.96,62.54,43.34
IN,SC,F07,T14,0.07,0.00,0.00
SC,MN,F05,T03,21.11,119.68,73.45
AL,AL,F05,T03,1378.60,1124.79,38.20
KS,VT,F07,T14,0.07,0.00,0.00
OH,SC,F02,T03,0.95,4.54,1.69
FL,MD,F05,T03,193.30,34.08,19.26
AZ,ND,F03,T03,0.26,0.90,0.91
MN,AR,F07,T03,9.27,11.96,6.22
NE,CO,F07,T03,89.19,274.76,35.73
CA,MI,F08,T14,2.42,0.46,0.55
OR,IL,F08,T14,1.29,0.17,0.19
MA,VT,F04,T14,8.63,1.93,0.25
OR,WA,F08,T03,47.82,56.77,7.85
WA,FL,F07,T14,2.87,0.30,0.48
IN,PA,F07,T03,464.66,803.96,224.64
UT,CA,F03,T03,11.21,1.60,0.55
ID,LA,F07,T03,187.53,175.17,179.92
NE,MA,F05,T03,351.59,107.46,78.62
CT,IN,F05,T03,4.06,1.11,0.39
KS,IN,F06,T03,33.41,93.65,31.95
NV,WA,F07,T03,58.74,57.23,23.62
NE,NE,F06,T06,579.43,5183.21,900.24
NC,TX,F08,T03,65.94,96.75,59.47
CA,TN,F07,T14,0.00,0.02,0.02
NC,UT,F00,T00,0.01,0.00,0.00
CA,IA,F02,T03,2.76,3.76,3.29
NV,NV,F07,T03,1253.01,2457.41,12.14
NE,WI,F09,T03,14.01,0.45,0.11
IN,IN,F03,T14,0.34,0.10,0.01
PA,MD,F04,T14,1.70,0.18,0.02
WV,MN,F07,T03,0.03,1.32,0.64
KY,NY,F07,T14,0.16,0.02,0.01
OR,CO,F03,T14,0.00,0.00,0.00
OR,OR,F00,T00,271.61,2263.69,7.69
HI,CT,F05,T11,2.06,0.13,0.33
MI,TX,F07,T03,150.19,158.96,97.80
MT,NC,F07,T14,0.01,0.00,0.00
KS,ME,F05,T14,0.37,0.06,0.06
DE,GA,F07,T03,7.94,10.00,4.10
CA,WV,F07,T14,4.18,0.14,0.18
AZ,CO,F04,T03,194.46,199.42,89.78
MO,AR,F09,T03,20.46,0.79,0.14
MI,WA,F03,T14,8.69,1.82,2.01
UT,MT,F05,T03,19.29,8.29,1.93
ID,AK,F07,T14,0.24,0.00,0.01
NY,GA,F09,T14,0.01,0.00,0.00
PA,VT,F07,T03,0.83,0.67,0.11
TX,NE,F07,T03,96.73,182.86,72.86
CO,MA,F08,T03,3.44,5.02,4.92
IA,WA,F06,T06,9.76,48.71,50.70
FL,MO,F09,T00,18.51,1.67,1.14
TN,NY,F04,T14,9.23,1.08,0.54
MA,NY,F06,T03,65.04,40.94,7.50
TN,CA,F07,T00,155.80,219.81,254.67
KY,CO,F06,T03,2.78,4.27,2.42
MA,NH,F07,T03,281.40,474.14,21.23
WY,MD,F07,T14,0.00,0.00,0.00
CA,MA,F09,T03,2.68,0.05,0.08
AL,UT,F07,T03,4.18,1.64,1.68
MA,NM,F07,T03,0.80,0.34,0.38
MA,MN,F05,T03,2.67,3.03,2.40
PA,NH,F07,T14,4.52,0.15,0.02
WA,AR,F03,T03,19.47,28.34,29.44
IL,NJ,F03,T14,24.41,0.39,0.16
IL,IN,F07,T06,81.45,232.58,34.97
VA,DE,F03,T03,1.92,2.03,0.26
TN,OK,F01,T03,169.77,103.18,36.31
GA,TX,F06,T03,277.25,297.35,133.03
MN,MN,F03,T03,5031.53,15084.08,323.90
MS,IL,F03,T03,0.57,0.15,0.06
MS,TX,F06,T03,12.97,28.07,6.21
WI,WV,F07,T14,1.24,0.13,0.05
UT,CO,F03,T14,0.74,0.06,0.01
FL,MO,F07,T03,101.25,145.77,90.28
MT,CO,F04,T14,0.01,0.00,0.00
WI,SD,F05,T03,12.57,22.88,6.27
NJ,FL,F07,T03,574.62,545.54,284.03
IA,MA,F07,T00,69.32,575.28,338.50
DE,VA,F04,T03,12.31,72.84,2.48
SD,VA,F00,T00,3.28,13.76,10.48
NY,MS,F09,T14,0.41,0.02,0.01
CT,NY,F04,T03,68.58,99.74,8.35
ME,RI,F07,T14,1.93,0.14,0.01
CT,VA,F00,T00,0.79,0.94,0.26
MA,NC,F07,T03,17.29,15.05,5.79
MN,LA,F06,T00,9.01,3.24,2.12
MI,ME,F03,T03,1.22,0.59,0.36
MT,LA,F07,T14,0.00,0.00,0.00
KY,CT,F09,T03,0.52,0.04,0.02
FL,DE,F05,T03,2.49,0.82,0.42
MO,LA,F07,T06,39.79,73.50,31.79
OR,CO,F07,T14,0.68,0.15,0.10
IN,TX,F08,T14,0.03,0.01,0.01
VA,VA,F07,T14,1.62,0.18,0.01
IL,SD,F04,T03,12.17,9.62,3.24
IL,PA,F00,T00,6.95,26.56,10.49
MN,IN,F07,T14,0.30,0.03,0.01
CT,DE,F07,T03,0.59,0.31,0.05
OR,AR,F08,T03,0.06,0.02,0.03
OH,WI,F02,T03,0.33,0.22,0.05
IL,TN,F07,T14,0.58,0.11,0.03
VA,DE,F08,T03,0.98,0.35,0.04
VA,WI,F07,T14,0.01,0.00,0.00
AR,NH,F08,T03,10.64,4.97,4.11
NC,DC,F07,T03,0.27,0.06,0.01
MT,AZ,F07,T14,0.00,0.00,0.00
TN,NE,F08,T03,0.49,0.13,0.06
LA,IL,F00,T00,107.04,269.05,149.13
WV,ME,F07,T03,1.86,3.48,1.33
IA,ND,F07,T03,15.58,91.79,23.66
IL,UT,F05,T03,93.44,39.08,27.45
TN,IN,F08,T03,93.36,15.56,2.83
MA,TN,F07,T03,46.22,82.20,45.43
CT,OK,F03,T14,0.08,0.00,0.00
IL,VA,F04,T14,0.07,0.01,0.00
VA,DC,F08,T14,0.14,0.04,0.00
CA,VT,F07,T03,2.23,2.36,3.59
MO,MI,F04,T14,0.10,0.02,0.01
MI,WY,F06,T03,5.00,0.40,0.27
CT,MD,F08,T03,4.06,2.70,0.36
NC,IA,F06,T03,22.56,20.93,11.13
MD,NJ,F00,T00,0.02,0.00,0.00
WI,MI,F07,T03,766.52,462.28,85.25
MO,IL,F04,T14,0.16,0.16,0.03
TX,MI,F00,T00,1.17,0.09,0.08
ME,MI,F06,T03,110.41,184.89,119.00
NY,MN,F06,T14,0.02,0.01,0.01
PA,NY,F01,T03,204.51,183.42,14.53
ME,TN,F04,T14,0.42,0.08,0.06
MO,OH,F07,T03,83.35,315.34,72.22
VA,SD,F04,T14,0.10,0.01,0.01
GA,VA,F03,T06,38.55,35.41,14.42
MS,TX,F07,T14,75.62,32.88,9.45
IL,CT,F09,T14,0.49,0.02,0.01
CT,TN,F06,T03,1.45,0.44,0.23
NJ,WI,F03,T03,50.58,25.18,12.00
IA,CT,F07,T06,44.77,273.89,190.07
DC,VA,F06,T03,6.51,1.89,0.01
IL,MS,F05,T03,86.86,38.25,12.56
CA,AL,F07,T00,15.84,26.77,36.26
MO,CT,F01,T03,1.59,0.02,0.01
KS,FL,F03,T03,4.12,6.06,5.44
OH,CO,F06,T03,11.61,9.63,6.16
SD,IA,F04,T14,0.29,0.21,0.02
IN,GA,F04,T00,59.95,259.71,82.34
ME,PA,F04,T14,1.51,0.25,0.08
IL,IN,F03,T03,271.35,761.63,52.67
UT,KY,F03,T14,0.04,0.00,0.00
IL,GA,F00,T00,0.17,0.05,0.01
PA,TX,F03,T03,25.83,27.65,20.04
MN,NY,F08,T06,54.45,151.95,99.30
CA,NV,F05,T14,0.16,0.04,0.01
MO,NY,F04,T03,49.22,32.66,14.58
NY,CO,F06,T03,33.89,32.72,28.10
OR,OH,F03,T06,2.56,3.45,4.62
OH,ME,F03,T14,1.19,0.09,0.05
PA,WA,F06,T03,11.94,3.88,5.32
KS,OH,F04,T03,8.65,5.60,1.90
OK,AZ,F04,T14,0.14,0.06,0.03
ND,TX,F07,T00,16.00,64.81,43.07
IL,OR,F04,T00,11.07,92.89,102.60
IA,AZ,F06,T03,60.31,62.98,51.78
IN,NC,F04,T06,145.25,774.41,351.95
CA,OK,F04,T14,0.09,0.00,0.00
KS,VA,F01,T03,0.07,0.00,0.00
OH,MT,F05,T03,31.27,1.49,1.18
IA,FL,F04,T00,2.17,23.08,19.90
CO,HI,F07,T14,0.98,0.76,1.29
FL,TX,F08,T03,74.13,33.69,18.24
SD,NE,F02,T06,10.82,98.81,17.14
NH,PA,F08,T03,17.17,34.67,10.37
SD,FL,F07,T03,12.95,8.06,6.49
NH,MA,F05,T14,0.01,0.00,0.00
IA,CO,F05,T03,62.33,32.43,11.27
SD,MA,F07,T14,0.03,0.00,0.00
IN,IL,F07,T14,3.10,0.31,0.03
UT,UT,F06,T14,3.01,0.81,0.02
KY,MI,F05,T03,50.61,27.07,5.52
MI,MN,F02,T03,0.35,0.19,0.06
KY,NC,F04,T14,0.02,0.01,0.00
UT,MN,F06,T03,29.80,23.84,15.57
GA,VA,F07,T03,129.13,186.51,45.27
OH,KS,F02,T06,94.09,789.00,292.90
MI,NH,F03,T14,0.00,0.00,0.00
MA,OK,F05,T11,0.01,0.00,0.00
NY,NC,F05,T03,5.21,1.10,0.33
HI,OR,F08,T14,0.55,0.10,0.15
IN,WI,F04,T03,18.54,12.87,2.34
IN,DE,F04,T03,5.27,50.68,19.21
GA,MN,F07,T14,1.35,0.09,0.06
OR,MT,F08,T14,0.11,0.02,0.01
MI,GA,F03,T14,25.64,5.85,2.39
IL,IL,F01,T03,14.54,11.10,0.78
PA,NC,F08,T14,0.01,0.00,0.00
KS,OR,F07,T14,0.15,0.02,0.01
CA,ID,F04,T03,12.21,23.47,8.47
DE,VA,F03,T03,0.37,0.70,0.12
AR,SC,F08,T03,10.16,4.74,2.26
OR,HI,F00,T00,7.62,38.40,52.11
FL,IL,F07,T03,245.75,359.80,223.54
WI,IN,F09,T14,0.65,0.02,0.00
IN,NE,F04,T03,97.02,105.32,31.52
MS,LA,F02,T07,30.10,250.77,56.01
ID,ID,F03,T03,848.99,2988.38,61.42
DE,GA,F03,T03,20.30,30.45,11.78
PA,OR,F00,T00,11.39,20.56,28.22
NJ,NC,F04,T03,4.68,1.71,0.52
TX,CO,F03,T03,11.92,2.76,1.01
LA,OK,F04,T03,10.80,22.93,6.18
FL,AZ,F03,T03,4.09,6.53,7.83
HI,IL,F03,T11,0.90,0.11,0.24
GA,MS,F06,T14,0.00,0.00,0.00
MN,RI,F08,T03,7.41,3.35,2.38
ME,GA,F05,T03,22.71,2.38,1.57
NJ,OH,F03,T14,0.07,0.01,0.00
ND,NC,F03,T03,129.36,209.39,157.14
MA,MI,F05,T14,0.65,0.07,0.02
SC,AZ,F06,T03,17.61,28.85,29.97
FL,NV,F09,T03,4.72,0.10,0.12
SC,SC,F04,T03,139.47,292.42,8.47
ND,CO,F07,T06,2.97,35.17,22.82
HI,NH,F08,T14,0.12,0.03,0.06
CO,OK,F05,T03,110.76,62.19,20.39
KY,MS,F05,T03,33.75,24.70,5.15
NH,LA,F08,T03,1.48,1.13,0.89
GA,LA,F07,T03,352.67,674.03,179.13
PA,NY,F04,T03,671.43,769.91,84.75
CO,OR,F03,T03,1.51,1.93,1.26
UT,OH,F00,T00,31.94,10.30,9.35
CA,GA,F06,T00,73.27,80.82,101.89
NH,ID,F07,T14,0.00,0.00,0.00
MD,LA,F01,T14,0.10,0.01,0.00
OH,MS,F03,T14,1.69,0.29,0.12
CA,TN,F07,T11,0.15,0.01,0.01
OK,NV,F07,T03,0.16,0.16,0.10
AK,WI,F08,T00,1.73,3.46,4.17
HI,HI,F05,T11,26.06,3.89,0.34
ID,NY,F03,T06,25.38,239.78,304.64
NH,PA,F05,T03,1.04,0.23,0.04
FL,OK,F01,T03,148.23,74.38,51.21
NJ,ND,F07,T14,0.03,0.04,0.04
MN,IA,F07,T14,13.95,1.39,0.28
MO,FL,F04,T03,27.11,3.01,1.86
OH,MO,F09,T14,0.10,0.00,0.00
VT,CA,F06,T14,1.78,0.26,0.38
NJ,MT,F07,T03,0.86,0.18,0.21
GA,TX,F05,T03,369.88,378.13,178.18
IL,IL,F09,T03,647.43,21.20,1.59
OR,LA,F06,T03,1.66,1.64,2.21
PA,CO,F04,T14,0.76,0.10,0.08
NE,KS,F07,T14,0.22,0.05,0.01
TX,MN,F09,T14,0.20,0.01,0.01
GA,AR,F06,T03,1.33,0.85,0.25
TN,KS,F05,T03,50.31,33.78,12.42
PA,NH,F04,T14,0.25,0.02,0.01
AZ,NM,F05,T03,7.76,8.48,1.15
UT,GA,F04,T11,0.35,0.08,0.07
FL,MA,F08,T03,4.52,2.44,1.41
VA,CO,F07,T03,4.21,8.31,6.72
ME,GA,F04,T14,5.09,0.98,0.59
ME,OR,F07,T14,0.00,0.00,0.00
TN,KY,F04,T14,0.22,0.02,0.00
NE,IL,F07,T03,10.20,29.16,6.62
VA,NE,F06,T03,0.66,0.58,0.39
KY,KS,F06,T03,79.63,65.13,21.66
OK,GA,F07,T03,6.52,4.86,2.38
CA,GA,F03,T14,11.72,0.32,0.42
KS,AL,F04,T03,51.03,192.19,76.09
AR,MD,F07,T14,0.32,0.11,0.06
FL,OR,F03,T03,39.02,6.82,10.97
PA,MO,F07,T14,0.60,0.08,0.04
MD,OH,F07,T03,308.80,229.17,52.07
MN,FL,F06,T03,13.45,30.55,24.23
AZ,WI,F03,T14,0.03,0.00,0.00
VT,KS,F07,T03,7.93,3.72,2.74
KY,AZ,F08,T03,39.36,16.40,14.67
OH,CA,F06,T03,232.74,186.14,211.67
KY,NE,F07,T14,7.52,1.25,0.50
AR,MS,F03,T03,166.98,221.75,17.94
