Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
FL,CO,F07,T04,54.54,94.30,88.97
AZ,RI,F07,T14,1.80,0.10,0.12
IL,MD,F07,T04,134.81,186.04,68.22
DE,WV,F02,T04,0.52,1.76,0.15
NC,VA,F03,T00,0.27,0.29,0.06
KY,SD,F08,T04,23.51,8.13,3.61
CO,CO,F05,T05,1598.10,411.97,3.76
MA,VT,F08,T04,2.17,1.49,0.14
TX,AL,F04,T00,30.24,156.21,93.33
MN,PA,F04,T14,2.91,0.85,0.48
PA,TN,F08,T04,9.41,17.23,7.21
UT,NY,F05,T04,26.40,7.78,8.61
MO,MN,F06,T05,3.70,7.79,1.54
PA,IA,F09,T14,3.01,0.19,0.09
SC,SC,F01,T05,1.30,0.13,0.01
MN,MO,F07,T14,0.01,0.00,0.00
IA,TN,F06,T04,52.05,38.34,16.70
NC,MN,F02,T14,1.09,0.09,0.05
AL,TX,F08,T04,7.20,1.93,0.65
CA,VA,F09,T04,1.08,0.07,0.09
MO,WI,F07,T14,4.21,0.11,0.03
PA,UT,F04,T04,2.24,4.14,3.86
CO,IL,F00,T00,78.48,167.58,92.59
CA,NH,F08,T04,3.92,4.59,7.28
MI,PA,F04,T14,1.37,0.15,0.02
CO,TX,F07,T14,8.49,2.55,1.41
MN,FL,F04,T04,5.83,6.34,5.32
OK,AR,F09,T04,1.19,0.04,0.00
SD,OK,F07,T14,0.01,0.00,0.00
IL,NH,F07,T14,0.51,0.09,0.05
NH,ME,F07,T14,0.02,0.00,0.00
MA,VT,F03,T04,0.56,0.39,0.05
TN,OK,F06,T05,1.04,1.00,0.20
ID,AR,F03,T04,2.48,24.09,19.28
IA,CA,F02,T00,35.27,52.80,51.16
WI,MI,F08,T00,7.12,33.51,7.49
MS,GA,F03,T04,13.05,12.23,3.32
VT,MI,F06,T04,241.99,120.27,57.07
CT,KY,F07,T14,5.16,1.75,0.70
IN,IN,F05,T05,303.04,540.82,7.38
NJ,KS,F06,T04,4.70,1.31,0.89
IL,IA,F09,T05,91.05,2.45,0.21
AZ,SC,F07,T04,3.82,6.40,5.99
LA,OK,F07,T04,11.93,22.94,9.38
NY,NY,F08,T04,847.02,1075.00,66.16
KY,AR,F06,T04,18.01,11.13,3.49
IL,AL,F07,T04,130.50,173.30,59.85
NY,CT,F05,T05,419.73,176.62,10.87
TN,WV,F06,T04,29.64,52.16,13.39
MO,KY,F06,T04,91.95,79.48,21.59
OH,OH,F06,T06,2.81,13.72,1.42
TX,NY,F02,T06,2.32,13.28,11.63
WI,FL,F07,T06,19.76,40.18,28.25
MS,IA,F03,T04,0.08,0.04,0.02
LA,IA,F00,T00,0.08,0.09,0.05
MI,TX,F06,T04,218.45,175.73,110.36
SD,AR,F07,T14,0.01,0.00,0.00
TN,SC,F07,T04,74.22,228.70,42.09
VA,AZ,F09,T04,0.94,0.11,0.13
DE,CO,F08,T04,0.61,0.53,0.47
OK,WA,F06,T04,7.44,6.91,6.95
CO,WY,F03,T05,10.78,4.79,0.34
MS,MS,F02,T04,81.72,696.18,23.70
MA,CT,F05,T05,125.77,34.39,2.70
DE,NC,F07,T14,0.05,0.03,0.01
GA,NE,F09,T14,0.57,0.02,0.01
WA,DC,F03,T04,1.49,0.97,1.37
WV,GA,F09,T04,10.48,1.73,0.55
NE,KY,F04,T04,43.58,39.79,15.21
OR,OR,F03,T04,113.30,104.40,4.19
PA,WY,F06,T04,3.58,3.58,2.81
MN,IL,F06,T04,146.87,193.85,44.19
IN,MD,F04,T05,40.62,28.21,6.28
GA,FL,F05,T00,9.09,11.52,4.02
OH,IN,F05,T14,0.78,0.20,0.04
SD,OR,F04,T00,2.15,22.62,20.98
WY,NC,F09,T04,0.57,0.07,0.07
CA,FL,F08,T00,187.19,340.84,524.80
AL,AZ,F09,T14,0.50,0.01,0.01
PA,WA,F05,T04,8.10,4.60,6.24
WA,WA,F00,T00,2803.89,14163.72,1441.69
KY,AR,F02,T04,8.61,59.70,16.79
HI,UT,F07,T14,0.12,0.02,0.03
CA,AZ,F07,T04,1840.21,3262.73,779.58
OH,VA,F03,T06,106.38,487.27,159.82
RI,ME,F05,T04,2.02,3.57,0.82
PA,ME,F06,T04,13.29,19.70,3.77
IL,NY,F00,T00,0.01,0.00,0.00
CA,GA,F08,T04,144.66,136.72,174.63
KS,KS,F07,T05,1879.90,2126.41,32.93
MN,AZ,F03,T04,1.69,0.48,0.40
GA,TX,F06,T06,10.83,8.96,5.31
SD,MO,F04,T04,7.14,8.31,2.57
WA,SD,F07,T14,0.01,0.00,0.00
IL,GA,F06,T14,0.23,0.04,0.02
IL,MI,F07,T14,2.46,0.63,0.09
CT,RI,F05,T05,48.79,29.60,1.14
WI,IA,F08,T04,31.00,87.60,19.81
IL,KY,F03,T05,2.40,5.11,0.76
CA,WI,F03,T14,5.48,0.53,0.57
HI,VT,F03,T14,0.00,0.00,0.00
OR,IL,F08,T04,0.08,0.02,0.03
NJ,MO,F04,T04,1.72,0.35,0.18
SD,ND,F04,T05,3.34,30.36,3.46
IL,AZ,F09,T04,7.28,0.36,0.33
KY,IN,F02,T05,18.74,138.74,2.92
ND,MA,F03,T04,3.83,30.05,25.85
MT,MT,F06,T04,28.60,89.23,6.33
MA,VT,F06,T05,19.95,36.43,1.45
ID,VA,F03,T14,2.85,0.01,0.01
CT,NE,F06,T04,0.08,0.00,0.00
CA,SC,F06,T14,0.03,0.00,0.00
ND,WA,F07,T04,5.49,10.43,7.00
WA,NY,F08,T04,5.78,35.37,49.91
IA,MN,F04,T14,0.66,0.17,0.02
ND,WA,F04,T04,1.94,21.54,13.39
IA,WI,F06,T14,0.03,0.01,0.00
TX,FL,F09,T04,8.68,0.25,0.15
AR,LA,F02,T00,22.03,174.75,40.98
ND,OH,F06,T06,0.97,19.47,10.28
TX,LA,F07,T04,429.46,667.60,139.71
WA,MT,F03,T05,10.22,1.51,0.22
IL,NE,F07,T05,3.64,1.39,0.35
MI,LA,F04,T14,0.03,0.11,0.06
IN,IN,F06,T05,298.80,495.84,14.28
KS,SD,F05,T14,0.62,0.10,0.02
CT,IN,F08,T04,0.86,0.38,0.15
LA,FL,F07,T04,132.13,246.53,82.81
MO,MI,F04,T14,0.10,0.02,0.01
KS,OK,F03,T05,0.56,0.08,0.00
CT,MA,F00,T00,7.18,3.23,0.03
ND,SD,F06,T04,2.36,16.36,1.64
MD,VA,F07,T04,630.32,982.33,59.62
MS,AR,F00,T00,25.48,14.48,2.29
MN,TX,F04,T04,11.69,27.38,18.70
CA,UT,F03,T04,136.59,178.65,68.22
SC,PA,F03,T14,0.51,0.00,0.00
MI,CA,F07,T14,1.72,0.21,0.25
VA,FL,F03,T04,14.60,11.95,4.77
FL,OH,F07,T04,210.55,325.96,165.04
NC,MS,F08,T04,7.82,23.14,7.51
WV,NJ,F07,T14,0.01,0.00,0.00
NY,OR,F08,T14,0.06,0.01,0.01
NH,MN,F08,T04,2.69,4.69,3.66
ID,AL,F03,T04,39.03,65.48,67.02
IA,MO,F06,T05,24.84,34.99,5.71
AR,MO,F03,T00,379.88,1338.31,398.77
MT,WY,F07,T14,0.00,0.00,0.00
WI,OK,F06,T04,0.36,0.14,0.06
CA,MT,F03,T11,0.58,0.25,0.13
OH,ME,F05,T04,16.37,5.23,2.37
NY,FL,F00,T00,5.57,8.37,6.46
NY,VT,F02,T04,2.20,2.36,0.38
OR,NY,F03,T11,0.29,0.06,0.09
OH,NE,F05,T04,2.33,1.12,0.48
OK,KS,F03,T05,1.01,0.26,0.01
NV,UT,F05,T05,54.14,11.18,2.44
NE,WI,F04,T14,0.01,0.01,0.00
MA,MI,F03,T04,5.77,4.42,2.48
AZ,AK,F05,T04,41.31,33.33,53.84
OH,TN,F08,T04,25.34,50.86,8.02
FL,ID,F07,T04,0.36,0.60,0.78
KY,MO,F07,T14,0.27,0.02,0.00
MA,DC,F05,T04,0.34,0.20,0.04
MO,KS,F00,T00,6.87,55.40,8.25
CO,OR,F03,T04,1.51,1.93,1.26
WV,AL,F09,T14,0.18,0.03,0.01
KY,CO,F09,T04,1.58,0.08,0.04
GA,KY,F03,T00,191.46,230.70,71.11
MN,MT,F07,T04,44.41,45.80,23.74
MN,NJ,F07,T04,101.97,237.52,149.13
AR,AL,F03,T05,22.31,84.48,12.68
NE,CO,F07,T06,184.15,1213.74,294.63
WA,OH,F07,T06,6.20,3.67,4.76
MN,WV,F07,T04,0.88,1.19,0.55
AR,GA,F07,T14,0.45,0.03,0.01
MS,AL,F07,T05,369.58,629.98,50.82
NM,WY,F07,T14,0.00,0.00,0.00
LA,NY,F08,T04,2.46,3.45,2.24
MD,MD,F08,T05,1892.24,1100.64,10.51
NE,NE,F02,T04,3071.96,22846.84,544.08
NC,TN,F05,T05,2.95,4.21,0.81
PA,KY,F09,T14,0.92,0.05,0.02
GA,OK,F07,T04,11.61,10.67,5.35
MI,OH,F03,T14,2.81,0.78,0.16
OR,CA,F08,T14,4.78,0.77,0.32
PA,VT,F06,T04,0.26,0.25,0.04
NJ,NJ,F09,T05,778.39,21.07,0.23
